HourUTC;HourDK;PriceArea;SpotPriceDKK;SpotPriceEUR
2023-03-30 06:00;2023-03-30 08:00;DK1;963,330017;129,300003
2023-03-30 06:00;2023-03-30 08:00;DK2;963,330017;129,300003
2023-03-30 06:00;2023-03-30 08:00;NO2;934,349976;125,410004
2023-03-30 06:00;2023-03-30 08:00;SE3;934,349976;125,410004
2023-03-30 06:00;2023-03-30 08:00;SE4;963,330017;129,300003
2023-03-30 06:00;2023-03-30 08:00;SYSTEM;933,450012;125,290001
2023-03-30 05:00;2023-03-30 07:00;DE;889,349976;119,370003
2023-03-30 05:00;2023-03-30 07:00;DK1;885,700012;118,879997
2023-03-30 05:00;2023-03-30 07:00;DK2;888,159973;119,209999
2023-03-30 05:00;2023-03-30 07:00;NO2;859,989990;115,430000
2023-03-30 05:00;2023-03-30 07:00;SE3;859,989990;115,430000
2023-03-30 05:00;2023-03-30 07:00;SE4;888,159973;119,209999
2023-03-30 05:00;2023-03-30 07:00;SYSTEM;805,830017;108,160004
2023-03-30 04:00;2023-03-30 06:00;DE;668,820007;89,769997
2023-03-30 04:00;2023-03-30 06:00;DK1;668,820007;89,769997
2023-03-30 04:00;2023-03-30 06:00;DK2;670,010010;89,930000
2023-03-30 04:00;2023-03-30 06:00;NO2;670,010010;89,930000
2023-03-30 04:00;2023-03-30 06:00;SE3;670,010010;89,930000
2023-03-30 04:00;2023-03-30 06:00;SE4;670,010010;89,930000
2023-03-30 04:00;2023-03-30 06:00;SYSTEM;670,010010;89,930000
2023-03-30 03:00;2023-03-30 05:00;DE;572,190002;76,800003
2023-03-30 03:00;2023-03-30 05:00;DK1;572,190002;76,800003
2023-03-30 03:00;2023-03-30 05:00;DK2;572,190002;76,800003
2023-03-30 03:00;2023-03-30 05:00;NO2;606,830017;81,449997
2023-03-30 03:00;2023-03-30 05:00;SE3;572,190002;76,800003
2023-03-30 03:00;2023-03-30 05:00;SE4;572,190002;76,800003
2023-03-30 03:00;2023-03-30 05:00;SYSTEM;596,030029;80,000000
2023-03-30 02:00;2023-03-30 04:00;DE;580,460022;77,910004
2023-03-30 02:00;2023-03-30 04:00;DK1;580,460022;77,910004
2023-03-30 02:00;2023-03-30 04:00;DK2;580,460022;77,910004
2023-03-30 02:00;2023-03-30 04:00;NO2;599,010010;80,400002
2023-03-30 02:00;2023-03-30 04:00;SE3;580,460022;77,910004
2023-03-30 02:00;2023-03-30 04:00;SE4;580,460022;77,910004
2023-03-30 02:00;2023-03-30 04:00;SYSTEM;581,349976;78,029999
2023-03-30 01:00;2023-03-30 03:00;DE;586,859985;78,769997
2023-03-30 01:00;2023-03-30 03:00;DK1;586,859985;78,769997
2023-03-30 01:00;2023-03-30 03:00;DK2;586,859985;78,769997
2023-03-30 01:00;2023-03-30 03:00;NO2;605,640015;81,290001
2023-03-30 01:00;2023-03-30 03:00;SE3;586,859985;78,769997
2023-03-30 01:00;2023-03-30 03:00;SE4;586,859985;78,769997
2023-03-30 01:00;2023-03-30 03:00;SYSTEM;595,950012;79,989998
2023-03-30 00:00;2023-03-30 02:00;DE;601,619995;80,750000
2023-03-30 00:00;2023-03-30 02:00;DK1;601,609985;80,750000
2023-03-30 00:00;2023-03-30 02:00;DK2;601,609985;80,750000
2023-03-30 00:00;2023-03-30 02:00;NO2;620,840027;83,330002
2023-03-30 00:00;2023-03-30 02:00;SE3;601,609985;80,750000
2023-03-30 00:00;2023-03-30 02:00;SE4;601,609985;80,750000
2023-03-30 00:00;2023-03-30 02:00;SYSTEM;607,580017;81,550003
2023-03-29 23:00;2023-03-30 01:00;DE;612,789978;82,250000
2023-03-29 23:00;2023-03-30 01:00;DK1;612,789978;82,250000
2023-03-29 23:00;2023-03-30 01:00;DK2;612,789978;82,250000
2023-03-29 23:00;2023-03-30 01:00;NO2;632,460022;84,889999
2023-03-29 23:00;2023-03-30 01:00;SE3;612,789978;82,250000
2023-03-29 23:00;2023-03-30 01:00;SE4;612,789978;82,250000
2023-03-29 23:00;2023-03-30 01:00;SYSTEM;618,900024;83,070000
2023-03-29 22:00;2023-03-30 00:00;DE;668,369995;89,709999
2023-03-29 22:00;2023-03-30 00:00;DK1;668,369995;89,709999
2023-03-29 22:00;2023-03-30 00:00;DK2;668,369995;89,709999
2023-03-29 22:00;2023-03-30 00:00;NO2;668,369995;89,709999
2023-03-29 22:00;2023-03-30 00:00;SE3;668,369995;89,709999
2023-03-29 22:00;2023-03-30 00:00;SE4;668,369995;89,709999
2023-03-29 22:00;2023-03-30 00:00;SYSTEM;663,380005;89,040001
2023-03-29 21:00;2023-03-29 23:00;DE;706,309998;94,800003
2023-03-29 21:00;2023-03-29 23:00;DK1;706,309998;94,800003
2023-03-29 21:00;2023-03-29 23:00;DK2;706,309998;94,800003
2023-03-29 21:00;2023-03-29 23:00;NO2;706,309998;94,800003
2023-03-29 21:00;2023-03-29 23:00;SE3;689,320007;92,519997
2023-03-29 21:00;2023-03-29 23:00;SE4;689,320007;92,519997
2023-03-29 21:00;2023-03-29 23:00;SYSTEM;680,900024;91,389999
2023-03-29 20:00;2023-03-29 22:00;DE;818,809998;109,900002
2023-03-29 20:00;2023-03-29 22:00;DK1;818,809998;109,900002
2023-03-29 20:00;2023-03-29 22:00;DK2;818,809998;109,900002
2023-03-29 20:00;2023-03-29 22:00;NO2;771,500000;103,550003
2023-03-29 20:00;2023-03-29 22:00;SE3;771,500000;103,550003
2023-03-29 20:00;2023-03-29 22:00;SE4;771,500000;103,550003
2023-03-29 20:00;2023-03-29 22:00;SYSTEM;759,200012;101,900002
2023-03-29 19:00;2023-03-29 21:00;DE;856,210022;114,919998
2023-03-29 19:00;2023-03-29 21:00;DK1;856,210022;114,919998
2023-03-29 19:00;2023-03-29 21:00;DK2;856,210022;114,919998
2023-03-29 19:00;2023-03-29 21:00;NO2;828,869995;111,250000
2023-03-29 19:00;2023-03-29 21:00;SE3;828,869995;111,250000
2023-03-29 19:00;2023-03-29 21:00;SE4;828,869995;111,250000
2023-03-29 19:00;2023-03-29 21:00;SYSTEM;783,049988;105,099998
2023-03-29 18:00;2023-03-29 20:00;DE;985,549988;132,279999
2023-03-29 18:00;2023-03-29 20:00;DK1;985,549988;132,279999
2023-03-29 18:00;2023-03-29 20:00;DK2;985,549988;132,279999
2023-03-29 18:00;2023-03-29 20:00;NO2;953,809998;128,020004
2023-03-29 18:00;2023-03-29 20:00;SE3;953,809998;128,020004
2023-03-29 18:00;2023-03-29 20:00;SE4;961,929993;129,110001
2023-03-29 18:00;2023-03-29 20:00;SYSTEM;894,650024;120,080002
2023-03-29 17:00;2023-03-29 19:00;DE;1116,599976;149,869995
2023-03-29 17:00;2023-03-29 19:00;DK1;1116,599976;149,869995
2023-03-29 17:00;2023-03-29 19:00;DK2;1116,599976;149,869995
2023-03-29 17:00;2023-03-29 19:00;NO2;1081,959961;145,220001
2023-03-29 17:00;2023-03-29 19:00;SE3;1089,780029;146,270004
2023-03-29 17:00;2023-03-29 19:00;SE4;1089,780029;146,270004
2023-03-29 17:00;2023-03-29 19:00;SYSTEM;987,039978;132,479996
2023-03-29 16:00;2023-03-29 18:00;DE;1083,369995;145,410004
2023-03-29 16:00;2023-03-29 18:00;DK1;1083,369995;145,410004
2023-03-29 16:00;2023-03-29 18:00;DK2;1083,369995;145,410004
